no	prompt	slug	status
1	Prompt: A realistic editorial photo of a couple sitting close together on a sofa, speaking softly but with visible emotional distance, subtle body language showing attachment dynamics, warm natural indoor light, modern apartment, candid expression, photorealistic, no text, no watermark.	atasament-stiluri-afective--ce-sunt-stilurile-de-atasament-si-cum-iti-influenteaza-relatiile	done
2	Prompt: A realistic relationship counseling style photo of two adults facing each other at a kitchen table, one open and expressive, the other more reserved, showing contrast in emotional styles, soft daylight, elegant home interior, natural skin tones, photorealistic, no text.	atasament-stiluri-afective--compatibilitatea-dintre-stilurile-de-atasament-in-cuplu	done
3	Prompt: A realistic portrait of a thoughtful young adult sitting alone by a window, journaling and reflecting on emotions, calm facial expression, soft morning light, intimate apartment setting, authentic lifestyle photography, photorealistic, no text.	atasament-stiluri-afective--cum-sa-recunosti-propriul-stil-de-atasament	done
4	Prompt: A realistic lifestyle image of a person planning personal growth in a notebook, coffee mug nearby, calm home desk, checklist and handwritten notes visible but unreadable, bright natural light, hopeful mood, photorealistic editorial photography.	atasament-stiluri-afective--plan-de-30-de-zile-pentru-imbunatatirea-stilului-de-atasament	done
5	Prompt: A realistic image of a woman sitting on the edge of a bed holding a phone, visibly anxious but trying to breathe calmly, soft evening light, intimate bedroom scene, emotional realism, tasteful and non-dramatic, photorealistic, no text.	atasament-stiluri-afective--stil-anxios-nevoi-frici-si-strategii-de-reglare	done
6	Prompt: A realistic photo of a man standing near a doorway while a partner sits in the background, both calm but emotionally careful, visual metaphor for avoidant attachment and gradual closeness, warm indoor light, modern home, photorealistic.	atasament-stiluri-afective--stil-evitant-cum-te-apropii-fara-panica	done
7	Prompt: A realistic photo of a person filling out a self-reflection questionnaire in a quiet room, notebook and pen on a wooden desk, focused expression, soft daylight, minimal aesthetic, photorealistic editorial image, no visible text details.	atasament-stiluri-afective--test-orientativ-recunoaste-ti-stilul-de-atasament	done
8	Prompt: A realistic hopeful image of a person walking alone through a city park at sunrise, relaxed posture, subtle sense of rebuilding life after a breakup, soft golden light, modern editorial style, photorealistic, no text.	despartiri-refacere--cum-sa-iti-reconstruiesti-viata-dupa-o-relatie	done
9	Prompt: A realistic emotional portrait of a person sitting alone on a couch, processing sadness and reflection after a breakup, gentle natural light, lived-in apartment, expressive but restrained emotion, photorealistic editorial photography.	despartiri-refacere--etapele-emotionale-ale-unei-despartiri-si-cum-le-recunosti	done
10	Prompt: A realistic self-care planning scene with a person writing a 30-day healing plan in a journal, tea, candle, and calm indoor atmosphere, soft morning light, healing and recovery mood, photorealistic, no text.	despartiri-refacere--plan-de-30-de-zile-pentru-vindecare-emotionala-dupa-o-despartire	done
11	Prompt: A realistic image of a person taking a healthy walk outdoors after emotional pain, headphones around neck, peaceful face, overcast natural light, grounded and healing atmosphere, lifestyle editorial photography, photorealistic.	despartiri-refacere--strategii-sanatoase-pentru-a-trece-peste-o-despartire	done
12	Prompt: A realistic editorial photo of a woman resting during a quiet break with closed eyes and relaxed posture, warm daylight, cozy home interior, tea on a side table, visual theme of true rest and recovery, photorealistic.	dezvoltare-personala--arta-pauzelor-odihna-minte-corp	done
13	Prompt: A realistic image of a person standing in front of a bathroom mirror, looking thoughtful rather than distressed, visual metaphor for inner dialogue and self-reflection, soft natural light, intimate but elegant, photorealistic.	dezvoltare-personala--criticul-interior	done
14	Prompt: A realistic scene of someone sitting at a desk feeling unmotivated but starting anyway, laptop open, notebook nearby, messy but normal workspace, late afternoon natural light, honest lifestyle photography, photorealistic.	dezvoltare-personala--fara-motivatie	done
15	Prompt: A realistic image of a person overwhelmed by too many self-help notes, planners, and sticky notes, pausing to simplify, clean modern desk, realistic human expression, natural light, photorealistic editorial style.	dezvoltare-personala--greseli-frecvente-in-dezvoltarea-personala-si-cum-sa-le-eviti	done
16	Prompt: A realistic photo of a person writing clear personal boundaries in a notebook at a tidy desk, calm focused face, minimal home office, soft daylight, sense of self-respect and clarity, photorealistic.	dezvoltare-personala--limitele-personale-cum-le-definesti-in-scris	done
17	Prompt: A realistic morning routine image showing simple healthy habits: journaling, water, stretching, and a calm desk scene, bright natural light, modern apartment, balanced lifestyle editorial look, photorealistic.	dezvoltare-personala--obiceiuri-zilnice-care-sustin-dezvoltarea-personala	done
18	Prompt: A realistic planning scene with a person organizing a 30-day personal growth plan on paper, weekly structure visible but unreadable, coffee, sunlight, focused and hopeful mood, photorealistic editorial photography.	dezvoltare-personala--plan-de-30-de-zile-pentru-dezvoltare-personala	done
19	Prompt: A realistic morning lifestyle photo of a person opening curtains, sunlight entering the room, simple healthy routine atmosphere, fresh start energy, elegant home interior, photorealistic, no text.	dezvoltare-personala--rutina-de-dimineata	done
20	Prompt: A realistic social scene where a person calmly but firmly sets a boundary in conversation, composed posture, respectful facial expression, modern cafe setting, soft daylight, photorealistic editorial style.	dezvoltare-personala--spui-nu-cu-calm	done
21	Prompt: A realistic image of steady daily progress: a person reading, writing notes, and reflecting in a bright home workspace, calm expression, clean composition, soft natural light, photorealistic editorial photography.	dezvoltare-personala--strategii-simple-pentru-dezvoltare-personala-constanta	done
22	Prompt: A realistic couple scene at home where one partner looks worried and tense while the other listens with patience, emotional closeness mixed with anxiety, soft evening light, tasteful and human, photorealistic.	gestionarea-emotiilor--anxietatea-in-cuplu	done
23	Prompt: A realistic photo of a person pausing to regulate emotions, hand on chest, eyes closed, calm breathing, quiet indoor setting, natural light, visual theme of emotional balance, photorealistic editorial image.	gestionarea-emotiilor--ce-este-gestionarea-emotiilor-si-de-ce-este-importanta	done
24	Prompt: A realistic image of two friends or partners having a calm, emotionally aware conversation, open body language, soft daylight, warm home setting, subtle theme of emotional regulation improving relationships, photorealistic.	gestionarea-emotiilor--cum-influenteaza-gestionarea-emotiilor-relatiile-cu-ceilalti	done
25	Prompt: A realistic photo of a man stepping away from an argument to calm down, hands clasped, deep breathing, tension without aggression, modern apartment interior, soft cinematic light, photorealistic, no text.	gestionarea-emotiilor--furia-sub-control	done
26	Prompt: A realistic close lifestyle image of a person writing in an emotion journal at a wooden table, pen, notebook, tea, soft daylight, reflective atmosphere, minimal and authentic, photorealistic editorial photography.	gestionarea-emotiilor--jurnal-emotional-zilnic	done
27	Prompt: A realistic photo of a busy young adult doing a short mindfulness pause at a desk, eyes closed, shoulders relaxed, laptop nearby, daylight office or home office, subtle calm mood, photorealistic.	gestionarea-emotiilor--mindfulness-rapid-exercitii	done
28	Prompt: A realistic scene of a person creating a 30-day emotional regulation plan with a journal and calendar, peaceful desk, soft morning light, organized but human atmosphere, photorealistic editorial image.	gestionarea-emotiilor--plan-de-30-de-zile-pentru-imbunatatirea-gestionarii-emotiilor	done
29	Prompt: A realistic intimate portrait of a person sitting quietly with lowered gaze, processing shame with vulnerability and softness, muted interior tones, compassionate mood, natural window light, photorealistic, no text.	gestionarea-emotiilor--rusinea	done
